graph_family,method,rho,n,m_og,m_sparse,edges_ratio,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,sparsify_time,metric_time,family,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_sparsified_0,degree_distribution_original_out_0
directed,mst,0.2,9.6,18.6,8.6,0.56665991902834,inf,26.2,0.0,inf,inf,inf,21701.2,4722.8,,,,,,0.4093939393939393,0.452020202020202,0.1232323232323232,0.1,0.1,0.0001369246000194,0.0004725564000181,directed,0.1125,0.5796296296296296,0.3144949494949495,0.4545454545454546,0.1,0.7296296296296297,0.3868686868686868,0.3545454545454545,0.1,0.1,,,,,,,,,,,,,,
directed,original,0.2,9.6,18.6,,1.0,inf,inf,1.0,inf,inf,inf,21701.2,21701.2,,,,,,,,,,,,0.0007459414000095,directed,0.1125,0.5796296296296296,0.3144949494949495,0.4545454545454546,0.1,0.7296296296296297,0.3868686868686868,0.3545454545454545,0.1,0.1,0.1125,0.5796296296296296,0.3144949494949495,0.4545454545454546,0.1,,,0.7296296296296297,0.3868686868686868,0.3545454545454545,0.1,0.1,,
directed,random,0.2,9.6,18.6,16.6,0.905344129554656,inf,inf,1.0,inf,inf,inf,21701.2,19819.8,,,,,,,,,,,5.217339994487702e-05,0.0005260143999748,directed,0.1125,0.5796296296296296,0.3144949494949495,0.4545454545454546,0.1,0.7296296296296297,0.3868686868686868,0.3545454545454545,0.1,0.1,0.112037037037037,0.5023989898989899,0.3363131313131313,0.2909090909090909,0.1,,0.1111111111111111,0.491919191919192,0.4141414141414141,0.2863636363636364,0.1,0.1,,
directed,t_spanner,0.2,9.6,18.6,20.0,1.301808367071525,inf,inf,1.0,inf,inf,inf,21701.2,6056.0,,,,,,,,,,,0.0002624495999952,0.00054979359993,directed,0.1125,0.5796296296296296,0.3144949494949495,0.4545454545454546,0.1,0.7296296296296297,0.3868686868686868,0.3545454545454545,0.1,0.1,,0.2235858585858586,0.5364646464646464,0.1999494949494949,0.1,0.1,,0.2235858585858586,0.5364646464646464,0.1999494949494949,0.1,0.1,,
undirected,k_neighbor,0.2,9.0,11.0,7.6,0.77,25.8,inf,0.4266666666666666,1.5492571698454052,7.118488030557211,8.5,4210.8,2674.6,0.2666666666666666,0.5055555555555555,0.2777777777777778,0.6,0.2,0.3822222222222222,0.5555555555555556,0.1037037037037037,,,0.00011999620001,0.0003463801999714,undirected,,,,,,,,,,,,,,,,,,,,,,,,
undirected,kols,0.2,9.0,11.0,8.0,0.82,25.8,34.0,0.0,1.5720144850485336,3.2933607237453053,7.514285714285714,4210.8,1875.2,0.2666666666666666,0.5055555555555555,0.2777777777777778,0.6,0.2,0.3933333333333333,0.5555555555555556,0.2027777777777777,,,0.0001071337999746,0.0003818615999989,undirected,,,,,,,,,,,,,,,,,,,,,,,,
undirected,local_degree,0.2,9.0,11.0,8.0,0.82,25.8,32.0,0.0,1.4021575077189783,2.835181525499184,7.0,4210.8,2831.0,0.2666666666666666,0.5055555555555555,0.2777777777777778,0.6,0.2,0.4333333333333333,0.4244444444444444,0.1703703703703703,0.1,0.1,0.0001042126000356,0.0003658669999822,undirected,,,,,,,,,,,,,,,,,,,,,,,,
undirected,mst,0.2,9.0,11.0,8.0,0.82,25.8,28.8,0.0,1.1090804222720958,0.0823676755532894,1.8466666666666665,4210.8,2610.2,0.2666666666666666,0.5055555555555555,0.2777777777777778,0.6,0.2,0.3733333333333333,0.6055555555555555,0.1777777777777777,,,8.438900008512816e-05,0.0003295343999979,undirected,,,,,,,,,,,,,,,,,,,,,,,,
undirected,original,0.2,9.0,11.0,,1.0,25.8,25.8,0.0,1.0,0.0,1.0,4210.8,4210.8,0.2666666666666666,0.5055555555555555,0.2777777777777778,0.6,0.2,0.2666666666666666,0.5055555555555555,0.2777777777777778,0.6,0.2,,0.000443010400022,undirected,,,,,,,,,,,,,,,,,,,,,,,,
undirected,random,0.2,9.0,11.0,9.8,0.9166666666666666,25.8,inf,0.08,1.122238990131147,0.2971008655708735,2.9,4210.8,3746.8,0.2666666666666666,0.5055555555555555,0.2777777777777778,0.6,0.2,0.2666666666666666,0.4444444444444445,0.2277777777777778,0.6,,4.206919993521296e-05,0.000380208000024,undirected,,,,,,,,,,,,,,,,,,,,,,,0.1,
undirected,t_spanner,0.2,9.0,11.0,8.6,0.8566666666666667,25.8,26.8,0.0,1.037886468078142,0.0174716381425795,1.4666666666666666,4210.8,2795.6,0.2666666666666666,0.5055555555555555,0.2777777777777778,0.6,0.2,0.2933333333333333,0.5244444444444445,0.2277777777777777,,,0.0001464958000269,0.0003340409999509,undirected,,,,,,,,,,,,,,,,,,,,,,,,
unweighted,k_neighbor,0.2,9.2,12.2,7.4,0.6657142857142857,inf,inf,0.356031746031746,inf,inf,inf,19.4,11.8,,,,,,0.52,0.3488888888888889,0.2185185185185185,,,0.0001195215999814,0.0003395941999769,unweighted,0.112037037037037,0.5972222222222222,0.3694444444444444,0.2,,0.66875,0.2416666666666666,0.2555555555555555,0.1,,,,,,,,,,,,,,,0.1868055555555555
unweighted,kols,0.2,9.2,12.2,8.2,0.7442857142857143,inf,inf,1.0,inf,inf,inf,19.4,12.8,,,,,,,,,,,7.51071999729902e-05,0.0003492167999865,unweighted,0.112037037037037,0.5972222222222222,0.3694444444444444,0.2,,0.66875,0.2416666666666666,0.2555555555555555,0.1,,0.1516666666666666,0.806111111111111,0.1055555555555555,,,,0.2983333333333333,0.5549999999999999,0.1305555555555555,0.1055555555555555,,,,0.1868055555555555
unweighted,local_degree,0.2,9.2,12.2,7.8,0.7185714285714285,inf,inf,1.0,inf,inf,inf,19.4,7.2,,,,,,,,,,,6.999539996286331e-05,0.000359774599974,unweighted,0.112037037037037,0.5972222222222222,0.3694444444444444,0.2,,0.66875,0.2416666666666666,0.2555555555555555,0.1,,0.3183333333333333,0.5327777777777778,0.1611111111111111,0.1,,,0.1868055555555555,0.8505555555555556,,,,,,0.1868055555555555
unweighted,mst,0.2,9.2,12.2,8.2,0.7442857142857143,inf,5.8,0.0,inf,inf,inf,19.4,13.6,,,,,,0.43,0.4211111111111111,0.1333333333333333,0.1111111111111111,0.1,9.733920001052626e-05,0.0003455197999755,unweighted,0.112037037037037,0.5972222222222222,0.3694444444444444,0.2,,0.66875,0.2416666666666666,0.2555555555555555,0.1,,,,,,,,,,,,,,,0.1868055555555555
unweighted,original,0.2,9.2,12.2,,1.0,inf,inf,1.0,inf,inf,inf,19.4,19.4,,,,,,,,,,,,0.000496879999946,unweighted,0.112037037037037,0.5972222222222222,0.3694444444444444,0.2,,0.66875,0.2416666666666666,0.2555555555555555,0.1,,0.112037037037037,0.5972222222222222,0.3694444444444444,0.2,,,0.1868055555555555,0.66875,0.2416666666666666,0.2555555555555555,0.1,,,0.1868055555555555
unweighted,random,0.2,9.2,12.2,10.8,0.9014285714285716,inf,inf,1.0,inf,inf,inf,19.4,14.2,,,,,,,,,,,3.681019993564405e-05,0.0003921547999652,unweighted,0.112037037037037,0.5972222222222222,0.3694444444444444,0.2,,0.66875,0.2416666666666666,0.2555555555555555,0.1,,0.1618055555555555,0.6194444444444445,0.2638888888888889,0.2,,,0.1916666666666666,0.5572222222222222,0.2814814814814815,0.1555555555555555,0.1,,,0.1868055555555555
unweighted,t_spanner,0.2,9.2,12.2,20.4,1.7542857142857144,inf,inf,1.0,inf,inf,inf,19.4,15.4,,,,,,,,,,,0.0002320398000392,0.0005188216000078,unweighted,0.112037037037037,0.5972222222222222,0.3694444444444444,0.2,,0.66875,0.2416666666666666,0.2555555555555555,0.1,,,0.2188888888888889,0.4655555555555556,0.2916666666666666,0.1555555555555555,0.1,,0.2188888888888889,0.4655555555555556,0.2916666666666666,0.1555555555555555,0.1,,0.1868055555555555
